image id,true label,confidence,prediction
0,3,0.9999377131539293,"[1.5232067812930067e-06, 2.877186043404663e-06, 4.715908176807715e-06, 0.9999377131539293, 2.0049640384648687e-06, 4.512668415741585e-05, 2.323125537513039e-06, 1.082454865843895e-06, 1.821663811113471e-06, 8.116526587725026e-07]"
1,8,0.9999947327662261,"[1.5154118162551308e-06, 2.214231760284156e-06, 1.3247196846798897e-07, 1.576978772606012e-07, 1.3086658094940862e-07, 8.714449568404878e-08, 3.9297410729346566e-07, 9.377504056041875e-08, 0.9999947327662261, 5.426601270197081e-07]"
2,8,0.9999548293756239,"[5.382045837653829e-06, 2.8496545795130052e-05, 9.40982350677164e-07, 4.824091221574419e-07, 1.3171614629872603e-06, 4.80290032651374e-07, 1.2964979392605114e-06, 8.276312362333668e-07, 0.9999548293756239, 5.947060599432326e-06]"
3,0,0.9978563380345793,"[0.9978563380345793, 0.00011034961715082638, 0.00018741794306349833, 0.0002659000206111246, 1.3222091159336942e-05, 8.043660422516298e-06, 1.3969707229065382e-05, 3.9591661202434446e-05, 0.0007338433157226501, 0.000771323948859207]"
4,6,0.9999440394735053,"[8.012652594335949e-07, 3.872957101618596e-06, 1.0177696043590743e-05, 1.2151733253160756e-05, 1.965927965801064e-05, 1.8701767444042662e-06, 0.9999440394735053, 1.1404793085596508e-06, 5.045233016411892e-06, 1.241706109167202e-06]"
5,6,0.9999862863970131,"[2.611385590430424e-07, 5.891661247975863e-07, 1.6948092038191377e-06, 6.76350270735018e-06, 1.0779821642201337e-06, 1.8724544629795507e-06, 0.9999862863970131, 5.510724830227972e-07, 5.210481794871318e-07, 3.824291020334766e-07]"
6,1,0.9993555369655536,"[3.28686226747985e-05, 0.9993555369655536, 3.4948981765147855e-05, 5.313801483795924e-05, 2.80601821822712e-06, 0.0001495368095687582, 2.0866589623082614e-05, 1.76990973124458e-05, 2.2994093894834985e-05, 0.00030960480655123644]"
7,6,0.9999654562799806,"[3.403727356042976e-06, 2.045719040429308e-06, 8.556356080117058e-06, 4.670318889489904e-06, 2.238427942257178e-06, 4.610291924394445e-06, 0.9999654562799806, 2.9962225319694236e-06, 1.0421034742659474e-06, 4.980552780409785e-06]"
8,3,0.9999241249484494,"[7.364078572364182e-07, 6.721450025392506e-07, 5.672210879595585e-07, 0.9999241249484494, 1.1651609089050955e-06, 6.593625898157318e-05, 2.481447237124363e-06, 1.5534000732000205e-06, 2.4157249267884767e-06, 3.472854753085078e-07]"
9,1,0.9997536512116896,"[2.709945829791572e-06, 0.9997536512116896, 1.989908403515347e-06, 1.6814397376540413e-06, 1.3174868676581541e-06, 6.474483616902727e-06, 3.6243660484143925e-05, 6.873409696020019e-06, 1.079164102138152e-05, 0.0001782668126533485]"
10,0,0.9999590707971976,"[0.9999590707971976, 1.8194438798421506e-06, 2.1567898712850323e-05, 9.10945177887044e-07, 2.3340089123449594e-06, 1.9000306680705992e-06, 9.378974310505194e-07, 1.7900365826371737e-06, 6.6014035626174515e-06, 3.0675378749053213e-06]"
11,9,0.999972845377021,"[7.754180504523334e-07, 6.358123425575526e-06, 4.841732895438971e-07, 3.8660594029545935e-06, 3.300039638046899e-07, 3.449151382120081e-07, 5.889924788192379e-07, 8.896867125140249e-06, 5.510070104593846e-06, 0.999972845377021]"
12,5,0.9999889585369331,"[1.665390738783258e-07, 4.7450892915861927e-07, 7.928696383477202e-07, 2.638423281943097e-06, 3.82546121355314e-06, 0.9999889585369331, 1.3743868163298932e-06, 1.3922035320698602e-06, 1.5734893167602962e-07, 2.1972164984544707e-07]"
13,7,0.9999529546436818,"[2.2067341226157573e-06, 1.0105692169477922e-05, 4.142462286389861e-06, 3.84075468751657e-06, 7.886422422051625e-06, 5.411220259529054e-06, 5.125820776703511e-06, 0.9999529546436818, 1.5700357827181128e-06, 6.756213811165786e-06]"
14,9,0.9999628992245716,"[2.343635660214892e-06, 2.1236485277502134e-05, 7.327708496204867e-07, 1.6569975936155353e-06, 6.86143619829966e-07, 5.001876196527766e-07, 9.360906114330948e-07, 2.5937003455168033e-06, 6.414763850873426e-06, 0.9999628992245716]"
