image id,true label,confidence,prediction
0,3,0.9996562723402753,"[1.854579068061802e-05, 1.127032138173949e-05, 3.2394635317397786e-05, 0.9996562723402753, 2.5596507068001635e-05, 0.00011605724303419867, 6.48575456095441e-05, 4.761188186522894e-05, 1.4191940847765332e-05, 1.320179392019266e-05]"
1,8,0.9973390864712642,"[0.0002126820411616992, 0.0014481062559187825, 6.566681578242141e-05, 0.00013782246284305217, 2.8346898446818078e-05, 6.283830455356033e-05, 0.0002134985858376197, 0.0001010034482482385, 0.9973390864712642, 0.0003909487159436169]"
2,8,0.9994268053730219,"[0.0001129093224449717, 0.00014092511634836058, 2.7178476355610484e-05, 4.376990514039293e-05, 1.516966894592945e-05, 2.421252793310032e-05, 5.117635179223137e-05, 4.203563564617157e-05, 0.9994268053730219, 0.00011581762237130752]"
3,0,0.9993228646930831,"[0.9993228646930831, 7.240144327675204e-05, 0.00021588486842480603, 6.224531547679934e-05, 6.710612845574428e-05, 2.583700992308325e-05, 3.340786517557108e-05, 1.8864806354218312e-05, 0.00010957801545462232, 7.180985437548753e-05]"
4,6,0.9995709611410584,"[3.7002570186329476e-05, 2.2435326224738633e-05, 0.0001032335043525229, 6.370494914745892e-05, 8.259029578721419e-05, 3.586995709459559e-05, 0.9995709611410584, 1.794073497594336e-05, 4.291310073799052e-05, 2.33484204346792e-05]"
5,6,0.9994741443132145,"[3.182618450409338e-05, 2.754663268581679e-05, 2.9814304716199457e-05, 0.00014616453689551321, 6.962204223619786e-05, 9.321318627706421e-05, 0.9994741443132145, 1.883142638025553e-05, 6.30990276096309e-05, 4.573834548048121e-05]"
6,1,0.9992352886031206,"[5.180180615213204e-05, 0.9992352886031206, 6.239301426176763e-05, 5.0863658117857476e-05, 1.6040534481827348e-06, 1.7488043834720975e-05, 5.317391578340665e-05, 8.457634294483605e-05, 0.00011857903535781901, 0.00032423152697878257]"
7,6,0.9996554197589095,"[2.322608755793686e-05, 1.9200648520041582e-05, 6.86677320446331e-05, 9.682661508227108e-05, 4.5475528970456414e-05, 2.5520704737359462e-05, 0.9996554197589095, 1.2090965293107399e-05, 3.9287577425794874e-05, 1.4284381458667526e-05]"
8,3,0.9996115676316207,"[2.255236369864537e-05, 1.4242780703209594e-05, 3.0333912049991062e-05, 0.9996115676316207, 3.424742771340322e-05, 0.00013697266753261972, 5.856598242078338e-05, 5.944585412242548e-05, 1.7699613929643682e-05, 1.437176620843422e-05]"
9,1,0.9997003415586508,"[1.5159111025497037e-05, 0.9997003415586508, 2.4254795349516114e-05, 8.995910699474416e-06, 5.729724566955185e-07, 5.774411591808868e-06, 2.4777234544975767e-05, 1.863704939923716e-05, 4.794981563298632e-05, 0.0001535371406490584]"
10,0,0.9994157888576043,"[0.9994157888576043, 1.7328588544178495e-05, 9.083986495698283e-05, 0.0002500578981022912, 5.956218913559314e-05, 7.173136200807989e-05, 2.0570031002473105e-05, 1.370849611211488e-05, 2.920534930100196e-05, 3.12073632328999e-05]"
11,9,0.9995446712256983,"[8.345342556492897e-05, 0.0001268642293275098, 8.831521548683002e-06, 1.6617421290203956e-05, 4.0854224223564356e-05, 0.00010215401841680031, 2.2217118441082965e-05, 1.9828501721451844e-05, 3.450831376746275e-05, 0.9995446712256983]"
12,5,0.9995247996095964,"[8.983691412960714e-06, 5.849932021979717e-06, 6.960588440913201e-05, 0.00023099417393010962, 5.762325336806037e-05, 0.9995247996095964, 2.0860920587940402e-05, 3.7977012068474156e-05, 4.247431616583002e-06, 3.90580909881993e-05]"
13,7,0.9993787497168319,"[1.761261331371997e-05, 3.958550057917565e-05, 8.530944454209745e-05, 7.776490125069684e-05, 0.00017157256737115737, 0.00010242892238941888, 4.151075982521366e-05, 0.9993787497168319, 6.465315893270689e-05, 2.081241496379845e-05]"
