index,label
2383,2
77,3
5373,2
3099,9
2713,8
5705,2
5977,6
3933,6
6123,6
9359,6
5575,3
6002,2
9802,0
2208,4
5090,1
2419,4
1243,8
4121,5
6476,0
6074,4
7915,3
7336,5
6262,8
765,2
4933,3
5126,0
9646,5
6592,5
2733,3
1262,8
7844,9
4280,8
1681,5
4516,1
6810,8
5526,8
1300,4
3372,1
5748,8
8886,4
4345,6
5205,8
6112,8
3115,5
8293,0
7075,9
6922,2
3592,7
1597,3
4233,9
9688,2
8148,9
1273,6
2840,3
8707,2
4495,3
3200,5
413,6
1475,9
6676,0
6321,8
7705,7
8346,6
8121,0
2,8
7105,3
3950,8
1794,3
1725,0
21,0
8064,0
4897,1
6617,4
152,6
6593,2
2438,1
2555,7
4739,6
5842,7
7424,9
4692,8
3266,7
2963,3
7966,7
606,4
7681,0
2986,1
2295,8
7757,6
283,1
382,0
2904,7
2677,7
2681,0
7146,0
6474,8
9159,9
5930,5
3535,5
5843,6
4654,7
9993,5
715,3
5000,7
2471,8
922,9
1136,9
2291,5
5948,0
7186,2
4960,4
9558,0
1118,4
5506,3
5790,9
942,7
6114,9
6471,6
3455,6
8344,7
1299,7
8539,6
5607,6
5687,2
1554,4
724,8
9837,4
1741,4
101,5
9908,8
1918,2
7008,1
2390,1
3690,9
8893,6
2381,5
8415,0
2757,1
2593,8
2563,2
2237,6
3545,4
1808,9
8345,9
5486,3
9869,7
8103,7
7907,6
116,0
464,3
2983,5
4795,5
6322,4
9834,8
3952,4
2093,6
6852,9
1591,1
4934,5
5421,6
6565,9
5153,7
8732,8
7123,6
5838,4
995,3
7800,0
6507,4
4422,3
547,6
3849,5
9723,7
9068,6
6695,4
8500,4
7898,1
9768,7
1234,1
2144,3
2715,0
2766,4
616,6
5133,2
4826,3
804,4
796,1
6227,7
9934,4
3032,2
8964,0
1437,1
4482,6
705,4
1528,2
7929,0
9425,6
1936,3
5937,1
7622,9
5093,0
711,8
261,1
3064,1
9949,3
9307,7
2105,6
7877,0
1909,3
2721,8
6542,9
1459,8
3966,4
2250,7
91,3
2551,2
3037,8
6530,3
2323,8
1208,3
8406,9
485,9
4713,1
1744,0
2220,1
5891,0
5357,0
3117,0
9753,3
43,6
3142,5
5112,5
25,2
6141,8
1100,7
4464,3
8470,8
3367,7
2441,4
5435,7
624,7
238,5
5936,6
3817,8
3244,7
1161,0
9472,8
479,4
3749,8
9717,9
5562,4
2894,6
9248,0
3997,2
1653,9
9706,9
2333,6
2254,8
7940,2
3972,7
2387,9
6291,9
3981,5
3525,2
3834,8
2659,2
5253,0
274,8
8733,7
8177,8
6868,9
4893,1
1039,2
6683,5
5100,3
6978,4
1065,3
6150,1
443,9
3258,0
8057,9
8663,1
5853,5
7810,6
5999,2
1748,0
5947,5
2851,4
3508,3
1931,6
4565,2
8666,0
709,8
933,2
1753,6
182,2
336,3
3750,9
2151,5
5139,6
2817,9
223,4
4954,1
322,2
1275,3
1965,0
3480,2
5813,4
2914,6
9716,7
4905,7
4984,7
8013,8
5312,5
2092,1
1466,7
5125,1
7637,8
9191,3
7361,8
4254,8
4454,6
860,4
1041,5
6341,2
2162,5
3379,5
6675,2
5911,6
7841,6
6545,9
6811,9
4372,1
4731,4
8527,1
2496,9
4531,1
7526,9
2173,3
1786,1
1219,3
4180,0
1474,3
537,2
5044,5
1469,7
7393,5
6965,6
8924,2
5691,2
6984,1
7982,9
8206,7
1012,6
2433,9
9133,9
1438,5
5198,3
9339,1
5981,7
8357,0
6316,7
8625,5
4069,5
2635,6
5073,8
2561,6
2145,7
6917,6
9559,1
2358,7
4184,4
8890,8
9778,3
2808,2
8991,0
5025,5
1307,2
2474,6
4162,0
4525,0
190,5
9988,8
895,1
9337,5
6358,7
5625,5
8620,3
3009,7
5698,7
783,6
7064,5
4374,0
961,1
9031,0
6900,3
5794,7
6906,1
1056,3
5996,4
2737,8
4780,0
2991,3
7817,6
3554,1
8248,1
8047,0
4879,6
576,8
4292,1
3505,4
1418,6
9535,1
6062,3
4342,3
468,7
6278,5
9083,8
9126,1
6681,9
654,9
9171,2
6744,3
1697,9
4786,6
4321,5
123,2
6840,9
6500,7
7341,4
4098,9
454,9
8188,7
4997,3
7471,6
5402,4
7382,9
7043,6
7280,1
185,8
3040,7
6396,4
4111,4
7706,8
5979,5
2644,8
297,0
4726,0
3139,2
530,9
9037,9
3193,2
7096,0
5792,2
1217,4
5583,0
3778,7
7457,2
8546,8
8699,4
144,8
1745,5
8334,6
4443,4
7964,1
3265,8
3204,5
8008,0
3627,4
4320,1
8242,5
4277,3
2936,5
1545,1
45,9
6351,0
4164,1
7458,2
8408,6
2723,2
583,4
8873,5
6388,7
7054,2
5708,2
3956,3
2066,2
3845,0
4271,1
8638,0
5741,1
1301,1
241,1
7825,3
1517,1
5196,2
4014,8
6768,2
2730,6
7633,7
3103,6
7401,3
89,9
3065,3
7089,7
4729,2
8670,9
1621,1
7769,4
8358,0
3907,2
1781,6
7308,4
1571,5
8175,3
5632,3
7708,2
225,9
8613,6
3884,3
2627,7
9236,9
2678,0
1317,9
9928,5
3896,7
7910,3
5779,3
2063,1
6950,8
3962,4
5023,2
8977,0
6472,1
5910,2
5776,5
1992,6
208,7
7665,9
1985,6
4914,3
5699,4
1015,4
9388,3
5342,8
8880,1
7663,2
7833,8
1250,7
5614,8
6212,7
9079,1
7044,4
9317,6
4163,2
2982,4
3339,9
4867,9
4659,4
9292,3
7447,8
5223,0
3137,5
2639,6
6463,8
6794,8
4594,1
6892,6
4696,5
8219,3
5327,0
4681,9
8985,9
805,4
3988,1
1212,1
1132,2
8202,5
679,5
5765,9
2005,5
6248,2
5457,8
5785,2
5341,6
5953,7
247,9
2740,1
1636,5
6666,2
6242,4
5291,9
9475,2
8338,3
6726,3
9436,1
791,0
8152,8
3764,1
8185,0
6279,1
6788,1
8947,4
7442,7
132,8
5489,7
3832,7
7867,4
9146,5
5899,1
2683,5
4956,5
3902,9
3923,3
4395,7
7532,1
1816,7
2566,2
4781,7
539,0
3279,8
9240,8
4947,5
896,3
6685,1
5710,6
418,3
3449,1
5760,2
5524,0
5244,2
